claim,Gaza,Gun Control,Racial Justice,Abortion,Immigration,Healthcare,Workers,Environment,Trump,LGBTplus,Musk
for ending Israel's siege on Gaza and settler violence in the West Bank,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for building community in Durango,1.0,,,,,,,,,,
in celebration of ceasefire in Gaza,1.0,,,,,,,,,,
for lifting Israel's siege on Gaza,1.0,,,,,,,,,,
for ending Israel's occupation of Palestine,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for peace,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportations,0.0,,,,1.0,,,,,,
for immigrants' rights,0.0,,,,1.0,,,,,,
against immigrant deportations,0.0,,,,1.0,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Indigenous peoples' solidarity,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for peace in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for peace,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
against immigrant deportation,0.0,,,,1.0,,,,,,
for peace,0.0,1.0,,,,,,1.0,,,
for gun control,0.0,1.0,,,,,,1.0,,,
for climate action,0.0,1.0,,,,,,1.0,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against racism,0.0,,1.0,,,,,,,,
against police brutality,0.0,,1.0,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for arms embargo on Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Donald Trump's agenda,1.0,,,,1.0,,1.0,1.0,1.0,,
for workers' rights,1.0,,,,1.0,,1.0,1.0,1.0,,
for immigrant rights,1.0,,,,1.0,,1.0,1.0,1.0,,
for environmental justice,1.0,,,,1.0,,1.0,1.0,1.0,,
against genocide in Gaza,1.0,,,,1.0,,1.0,1.0,1.0,,
for Palestinian liberation,1.0,,,,1.0,,1.0,1.0,1.0,,
against militarism and imperialism,1.0,,,,1.0,,1.0,1.0,1.0,,
against capitalism,1.0,,,,1.0,,1.0,1.0,1.0,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in commemoration of International Holocaust Rememberance Day,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Miriam restaurant's support for Zionism,1.0,,,,,,,,,,
against appropriation of Palestinian cuisine and culture by Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in celebration of victory by Palestinian resistance and release of Palestinian prisoners,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in remembrance of Palestinians killed in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for bilateral ceasefire in Gaza,1.0,,,,,,,,,,
for release of all hostages held by Hamas and Israel,1.0,,,,,,,,,,
for Israel prime minister Benjamin Netanyahu's resignation,1.0,,,,,,,,,,
for humanitarian aid to Gaza,1.0,,,,,,,,,,
against starvation in Gaza,1.0,,,,,,,,,,
for lifting Israel's siege on Gaza,1.0,,,,,,,,,,
for ending Israel's occupation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for permanent ceasefire in Gaza,1.0,,,,,,,,,,
against genocide and occupation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for collective liberation,1.0,,,,,,,,,,
against imperialism,1.0,,,,,,,,,,
in remembrance of Palestinian children killed in Gaza,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
against Israeli occupation and apartheid,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in celebration of ceasefire in Gaza,1.0,,,,,,,,,,
in remembrance of Palestinians killed in Gaza,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportation,0.0,,,,1.0,,,,,,
for immediate ceasefire in Gaza,1.0,,,,,,,,,,
for peace,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
against U.S. support for Israel's attack on Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportation,0.0,,,,1.0,,,,,,
against immigrant deportations and family deportations,0.0,,,,1.0,,,,,,
against immigrant deportations and family deportations,0.0,,,,1.0,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against event at Oheb Shalom synagogue supporting Israel Defense Forces,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against pro-Palestine protest,1.0,,,,,,,,,,
in solidarity with Israel,1.0,,,,,,,,,,
against systemic racism,0.0,,1.0,,,,,,,,
for equal justice for all,0.0,,1.0,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against inhumane conditions for migrant detainees in Tacoma Northwest Detention Center,0.0,,,,1.0,,,,,,
for freeing all detained migrants,0.0,,,,1.0,,,,,,
for abolishing ICE,0.0,,,,1.0,,,,,,
for immediate and permanent ceasefire in Gaza,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
against conflation of opposition to genocide with antisemitism,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for ending U.S. aid to Israel,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
for justice for jailed or imprisoned J6 participants,0.0,,,,,,,,,,
for patriotism,0.0,,,,,,,,,,
for Christian values,0.0,,,,,,,,,,
for prison reform,0.0,,,,,,,,,,
for justice for Robert Brooks,0.0,,,,,,,,,,
against violence in prisons,0.0,,,,,,,,,,
for increasing the stateÃÂ¢ÃÂÃÂs oversight over the state prison system,0.0,,,,,,,,,,
for bills A1200 and S415 in the New York state legislature,0.0,,,,,,1.0,,,,
against New YorkÃÂ¢ÃÂÃÂs two-tier wage system for tipped workers,0.0,,,,,,1.0,,,,
for requiring employers to pay a full minimum wage with tips on top,0.0,,,,,,1.0,,,,
for workers' rights,0.0,,,,,,1.0,,,,
in commemoration of International Holocaust Remembrance Day,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against event at Ohio State University featuring Israel Defense Forces veterans as speakers,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
against the normalization of Zionism,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against a proposed City Council resolution that would allow local police officers to assist federal agents in deporting undocumented migrants,0.0,,,,1.0,,,,,,
,0.0,,,,1.0,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
against ICE,0.0,,,,1.0,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against racism,0.0,,1.0,,,,,,,,
against police brutality,0.0,,1.0,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for ending U.S. aid to Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for gun reform,0.0,1.0,,,,,,,,,
for gun control,0.0,1.0,,,,,,,,,
against gun violence,0.0,1.0,,,,,,,,,
against the school shooting at Antioch High School,0.0,1.0,,,,,,,,,
for justice for school shooting victim Josselin Corea Escalante,0.0,1.0,,,,,,,,,
for an expansion of the upcoming Tennessee state legislative special session to address school shootings,0.0,1.0,,,,,,,,,
for permanent ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
against ICE raids,0.0,,,,1.0,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
against U.S. Representative Judy Chu's support for Israel,1.0,,,,,,,,,,
for ending U.S. military aid to Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for dropping charges against pro-Palestine student protesters arrested at Arizona State University,1.0,,,,,,,,,,
for divesting Arizona State University from Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for divesting Princeton University from Israel,1.0,,,,,,,,,,
against apartheid in Israel,1.0,,,,,,,,,,
against Zionism,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for state legislation to save and restore the Great Salt Lake,0.0,,,,,,,1.0,,,
for environmental conservation,0.0,,,,,,,1.0,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for divesting Stony Brook University from Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against inhumane conditions for migrant detainees in Tacoma Northwest Detention Center,0.0,,,,1.0,,,,,,
for freeing all detained migrants,0.0,,,,1.0,,,,,,
for abolishing ICE,0.0,,,,1.0,,,,,,
in remembrance of Jose Manuel Sanchez-Castro,0.0,,,,1.0,,,,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
for justice for jailed or imprisoned J6 participants,0.0,,,,,,,,,,
for patriotism,0.0,,,,,,,,,,
for Christian values,0.0,,,,,,,,,,
against the Florida appeal of in-state tuition rights for undocumented immigrants,0.0,,,,1.0,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
against Israel's attacks on Lebanon,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against the Laken Riley Act,0.0,,,,1.0,,,,,,
against immigrant deportations,0.0,,,,1.0,,,,,,
for divesting Dartmouth College from Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
against Chevron's complicity in genocide in Gaza,1.0,,,,,,,1.0,,,
for boycotting Chevron,1.0,,,,,,,1.0,,,
for Palestinian liberation,1.0,,,,,,,1.0,,,
for climate justice,1.0,,,,,,,1.0,,,
for Indigenous sovereignty,1.0,,,,,,,1.0,,,
against racism,0.0,,1.0,,,,,,,,
against police brutality,0.0,,1.0,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for peace,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for ending U.S. aid to Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for arms embargo on Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for gun reform,0.0,1.0,,,,,,,,,
for gun control,0.0,1.0,,,,,,,,,
against gun violence,0.0,1.0,,,,,,,,,
against the school shooting at Antioch High School,0.0,1.0,,,,,,,,,
in rememberance of Josselin Corea Escalante,0.0,1.0,,,,,,,,,
for immigrant protections,0.0,,,,1.0,,,,,,
against immigrant deportations,0.0,,,,1.0,,,,,,
against private school vouchers,0.0,,,,1.0,,,,,,
for investing in public schools,0.0,,,,1.0,,,,,,
in solidarity with healthcare workers and hospitals in Gaza,1.0,,,,,1.0,1.0,,,,
against genocide in Gaza,1.0,,,,,1.0,1.0,,,,
for Palestinian liberation,1.0,,,,,1.0,1.0,,,,
against Fox News,0.0,,,,,,,,1.0,,
against Donald Trump,0.0,,,,,,,,1.0,,
for democracy,0.0,,,,,,,,1.0,,
against the closure of the Park Slope Starbucks,0.0,,,,,,1.0,,,1.0,
for transparency for Starbucks union employees,0.0,,,,,,1.0,,,1.0,
against unfair labor practices for Starbucks employees,0.0,,,,,,1.0,,,1.0,
for permanent ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against ICE raids on schools,0.0,,,,1.0,,,,,,
against immigrant deportations,0.0,,,,1.0,,,,,,
against ICE raids and detentions in Philadelphia,0.0,,,,1.0,,,,,,
against immigrant deportations,0.0,,,,1.0,,,,,,
against ICE,0.0,,,,1.0,,,,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for higher pay and better benefits,0.0,,,,,,1.0,,,,
against Nu-Tech leaders accused retaliatory firings disability discrimination and threats related to unionization efforts,0.0,,,,,,1.0,,,,
for state legislation to save and restore the Great Salt Lake,0.0,,,,,,,1.0,,,
for environmental conservation,0.0,,,,,,,1.0,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Sugar Land City Council resolutions silencing Muslim and pro-peace voices,1.0,,,,,,,,,,
against Islamophobia and bigotry,1.0,,,,,,,,,,
for freedom of speech,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for women's rights,0.0,,,1.0,,,,,,,
against domestic violence,0.0,,,1.0,,,,,,,
against inhumane conditions for migrant detainees in Tacoma Northwest Detention Center,0.0,,,,1.0,,,,,,
for freeing all detained migrants,0.0,,,,1.0,,,,,,
for abolishing ICE,0.0,,,,1.0,,,,,,
against immigrant deportations and ICE raids,0.0,,,,1.0,,,,,,
for making Tallahassee a sanctuary city for migrants,0.0,,,,1.0,,,,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
for justice for jailed or imprisoned J6 participants,0.0,,,,,,,,,,
for patriotism,0.0,,,,,,,,,,
for Christian values,0.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for ending all U.S. weapons sales and aid to Israel,1.0,,,,,,,,,,
for humanitarian and medical aid to Gaza,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for divesting hospitals from weapons manufacturers,1.0,,,,,,,,,,
against immigrant deportations,0.0,,,,1.0,,,,,,
against President Trump,0.0,,1.0,,,,,,1.0,,
against racism,0.0,,1.0,,,,,,1.0,,
against threats to public education,0.0,,1.0,,,,,,1.0,,
for immigrants rights,0.0,,,,1.0,,,,,,
for justice for Tyrone West and all victims of police brutality,0.0,,1.0,,,,,,,,
for peace,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against presence in Bloomington of businesses that profit from war,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
against the military-industrial complex,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
for passage of Safe Communities Act,0.0,,,,1.0,,,,,,
for state legislation that would bar state and local law enforcement from cooperating with ICE,0.0,,,,1.0,,,,,,
for more state support for legal services for migrants facing deportation,0.0,,,,1.0,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportations,0.0,,,,1.0,,,,,,
against event at Queens University of Charlotte honoring Central Piedmont Community College president Dr. Kandi Deitemeyer,0.0,,1.0,,,,,1.0,,,
against Dr. Kandi Deitemeyer's complicity in construction of new police training facility in Charlotte,0.0,,1.0,,,,,1.0,,,
against police brutality,0.0,,1.0,,,,,1.0,,,
against racism,0.0,,1.0,,,,,1.0,,,
for environmental conservation,0.0,,1.0,,,,,1.0,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
for immigrants knowing their rights,0.0,,,,1.0,,,,,,
against deportations,0.0,,,,1.0,,,,,,
for protection for immigrants,0.0,,,,1.0,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
against ICE raids,0.0,,,,1.0,,,,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
against Donald Trump,0.0,,,,1.0,,,,1.0,,
against Trump's executive order,0.0,,,,1.0,,,,1.0,,
against Project 2025,0.0,,,,1.0,,,,1.0,,
for immigrants' rights,0.0,,,,1.0,,,,1.0,,
for protection for immigrants,0.0,,,,1.0,,,,1.0,,
against deportations,0.0,,,,1.0,,,,1.0,,
against Donald Trump,0.0,,,,1.0,,,,1.0,1.0,
against Trump's executive orders,0.0,,,,1.0,,,,1.0,1.0,
against fascism,0.0,,,,1.0,,,,1.0,1.0,
against deportations,0.0,,,,1.0,,,,1.0,1.0,
for LGBTQ+ rights,0.0,,,,1.0,,,,1.0,1.0,
agaisnt Donald Trump's executive orders,0.0,,,,1.0,,,,1.0,,
against federal immigration raids,0.0,,,,1.0,,,,1.0,,
for immigrant rights,0.0,,,,1.0,,,,1.0,,
agaisnt Donald Trump's executive orders,0.0,,,1.0,1.0,,,,1.0,1.0,
against federal immigration raids,0.0,,,1.0,1.0,,,,1.0,1.0,
for immigrant rights,0.0,,,1.0,1.0,,,,1.0,1.0,
for LGBTQ+ rights,0.0,,,1.0,1.0,,,,1.0,1.0,
for women's rights,0.0,,,1.0,1.0,,,,1.0,1.0,
for reproductive rights,0.0,,,1.0,1.0,,,,1.0,1.0,
against all wars,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportations,0.0,,,,1.0,,,,,,
against illegal immigration,0.0,,,,1.0,,,,1.0,,
for patriotism,0.0,,,,1.0,,,,1.0,,
in support of President Trump,0.0,,,,1.0,,,,1.0,,
for a fair contract for graduate student workers at University of Iowa,0.0,,,,,,1.0,,,,
for higher pay,0.0,,,,,,1.0,,,,
against Donald Trump's executive orders,0.0,,,1.0,1.0,,,,1.0,,
against deportations,0.0,,,1.0,1.0,,,,1.0,,
for reproductive rights,0.0,,,1.0,1.0,,,,1.0,,
against Donald Trump's agenda while being in office,0.0,,,1.0,1.0,,,,1.0,1.0,
against immigrant deportations,0.0,,,1.0,1.0,,,,1.0,1.0,
for transgender rights,0.0,,,1.0,1.0,,,,1.0,1.0,
for human rights,0.0,,,1.0,1.0,,,,1.0,1.0,
for womens rights,0.0,,,1.0,1.0,,,,1.0,1.0,
against fascism,0.0,,,1.0,1.0,,,,1.0,1.0,
for human rights,0.0,,,1.0,1.0,,,,1.0,1.0,
for reproductive rights,0.0,,,1.0,1.0,,,,1.0,1.0,
against Donald Trump,0.0,,,,,,,,1.0,,
againt Donald Trump's executive orders,0.0,,,,,,,,1.0,,
against immigrant deportations,0.0,,1.0,,,,,,1.0,,
against President Trump,0.0,,1.0,,,,,,1.0,,
against racism,0.0,,1.0,,,,,,1.0,,
against fascism,0.0,,1.0,,,,,,1.0,,
for abolishing police associations,0.0,,1.0,,,,,,,,
against police violence and corruption,0.0,,1.0,,,,,,,,
against racism,0.0,,1.0,,,,,,,,
against racism,0.0,,1.0,,,,,,,,
against police brutality,0.0,,1.0,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Donald Trump,0.0,,,,1.0,,,,1.0,,1.0
against Trump's executive orders,0.0,,,,1.0,,,,1.0,,1.0
against deportations,0.0,,,,1.0,,,,1.0,,1.0
against cuts to social services,0.0,,,,1.0,,,,1.0,,1.0
for school choice in Wisconsin,0.0,,,,,,,,,,
for parents having the option to choose which school to send their children to,0.0,,,,,,,,,,
for alternatives to public school,0.0,,,,,,,,,,
in remembrance of Hind Rajab and other Palestinian children killed in Gaza,1.0,,,,,,,,,,
in remembrance of all victims of U.S. and Israeli imperialism,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against retaliation against teacher Alondra Garcia for providing information about legal services available to families potentially facing deportation,0.0,,,,1.0,,,,1.0,,
for full implementation of Safe Haven program in Milwaukee public schools,0.0,,,,1.0,,,,1.0,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,1.0,,
against President Trump,0.0,,,,1.0,,,,1.0,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for ending U.S. aid to Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
against Donal Trump's executive orders,0.0,,,,,,,,1.0,1.0,
for protection for transgender people,0.0,,,,,,,,1.0,1.0,
for trans' rights,0.0,,,,,,,,1.0,1.0,
against Donald Trump's executive orders,0.0,,,,,,,,1.0,,
for birthright citizenship,0.0,,,,,,,,1.0,,
against genocide in Gaza,1.0,,,,,,,,,,
for arms embargo on Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against state legislation that would incentivize enforcing federal immigration laws and create criminal penalties for officials who adopt sanctuary policies and require their removal from office upon conviction,0.0,,,,1.0,,,,,,
against HB 6001,0.0,,,,1.0,,,,,,
in remembrance of Hind Rajab and other Palestinian children killed in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in remembrance of Hind Rajab and other Palestinian children killed in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in remembrance of Hind Rajab and other Palestinian children killed in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against use of Hind Rajab to advance false claims of genocide in Gaza,1.0,,,,,,,,,,
in solidarity with Israel,1.0,,,,,,,,,,
against L3Harris's complicity in genocide in Gaza,1.0,,,,,,,,,,
against weapons manufacturing,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in commemoration of the anniversary of Hind Rajab's death,1.0,,,,,,,,,,
in remembrance of Palestinian children killed in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Donal Trump's executive orders,0.0,,,1.0,1.0,,,,1.0,1.0,
for immigrants' rights,0.0,,,1.0,1.0,,,,1.0,1.0,
against deportations,0.0,,,1.0,1.0,,,,1.0,1.0,
for women's rights,0.0,,,1.0,1.0,,,,1.0,1.0,
for LGBTQ+ rights,0.0,,,1.0,1.0,,,,1.0,1.0,
for human rights,0.0,,,1.0,1.0,,,,1.0,1.0,
for state legislation to save and restore the Great Salt Lake,0.0,,,,,,,1.0,,,
for environmental conservation,0.0,,,,,,,1.0,,,
against immigrant deportations,0.0,,,,1.0,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against colonial violence,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against immigrant deportations,0.0,,,,1.0,,,,,,
against inhumane conditions for migrant detainees in Tacoma Northwest Detention Center,0.0,,,,1.0,,,,,,
for freeing all detained migrants,0.0,,,,1.0,,,,,,
for abolishing ICE,0.0,,,,1.0,,,,,,
for justice for jailed or imprisoned J6 participants,0.0,,,,,,,,,,
for patriotism,0.0,,,,,,,,,,
for Christian values,0.0,,,,,,,,,,
against Donald Trump,0.0,,,,1.0,,,,1.0,,
against deportations,0.0,,,,1.0,,,,1.0,,
for immigrants' rights,0.0,,,,1.0,,,,1.0,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for continued progress on gun safety in Maryland,0.0,1.0,,,,,,,,,
for gun safety,0.0,1.0,,,,,,,,,
for transgender peoples' rights,0.0,,,,,,,,,1.0,
for trans unity,0.0,,,,,,,,,1.0,
for justice for Cornelius Taylor,0.0,,,,,,,,,,
against sweeps of homeless encampments,0.0,,,,,,,,,,
against gentrification and displacement,0.0,,,,,,,,,,
for transgender peoples' rights,0.0,,,,,,,,,1.0,
for trans unity,0.0,,,,,,,,,1.0,
against immigrant deportations,0.0,,,,1.0,,,,,,
for stronger protections for undocumented students at University of California,0.0,,,,1.0,,,,,,
for a ceasefire in Israel and Palestine,1.0,,,,,,,,,,
for the release of all hostages and prisoners,1.0,,,,,,,,,,
for humanitarian aid to all who are suffering in the war-torn regions,1.0,,,,,,,,,,
for transgender peoples' rights,0.0,,,,,,,,,1.0,
for trans unity,0.0,,,,,,,,,1.0,
against Massachusetts Institute of Technology's collaboration with Elbit Systems,1.0,,,,,,1.0,,,,
against genocide in Gaza,1.0,,,,,,1.0,,,,
for Palestinian liberation,1.0,,,,,,1.0,,,,
for national school choice week,0.0,,,,,,,,,,
for transgender peoples' rights,0.0,,,,,,,,,1.0,
for trans unity,0.0,,,,,,,,,1.0,
for transgender peoples' rights,0.0,,,,,,,,,1.0,
for trans unity,0.0,,,,,,,,,1.0,
for supporting Senate bill 3,0.0,1.0,,,,,,,,,
against gun violence,0.0,1.0,,,,,,,,,
for gun regulations,0.0,1.0,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for ending U.S. aid to Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for transgender peoples' rights,0.0,,,,,,,,1.0,1.0,
for trans unity,0.0,,,,,,,,1.0,1.0,
against Donald Trumps executive orders,0.0,,,,,,,,1.0,1.0,
against Governor Mike Braun's executive order ordering the state to fully cooperate with the federal government's immigration policies,0.0,,,,1.0,,,,,,
against immigrant deportations and family separations,0.0,,,,1.0,,,,,,
against state censorship of what Florida students have a right to learn,0.0,,,,,,,,,,
"for Florida to to stop attacks on courses and content that promote diversity, equity and inclusion",0.0,,,,,,,,,,
in support of refugees,0.0,,,,1.0,,,,,,
for transgender peoples' rights,0.0,,,,,,,,,1.0,
for trans unity,0.0,,,,,,,,,1.0,
for access to gender affirming care,0.0,,,,,,,,,1.0,
for ceasefire in Gaza,1.0,,,,,,,,,,
against apartheid,1.0,,,,,,,,,,
against genocide,1.0,,,,,,,,,,
against occupation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against racism,0.0,,1.0,,,,,,,,
against police brutality,0.0,,1.0,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for ending U.S. aid to Israel,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
against Target's changes in DEI programs,0.0,,,,,,,,1.0,,
against Donald Trumps efforts to end DEI programs,0.0,,,,,,,,1.0,,
for boycotting target,0.0,,,,,,,,1.0,,
against Governor Lee's school vouchers,0.0,,,,1.0,,,,,,
against immigration bill,0.0,,,,1.0,,,,,,
against Citibank's continuing funding for fossil fuel projects,0.0,,,,,,,1.0,,,
for climate action,0.0,,,,,,,1.0,,,
against Mayor Eric Adams,0.0,,1.0,,,,,,,,
against police brutality,0.0,,1.0,,,,,,,,
